type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d_lat;geo_point_2d_long
TOILETTES;;BOIS DE VINCENNES - DAUMESNIL;75012;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-floral-de-paris-1;"{""coordinates"": [[2.4142998431578455, 48.832777621760634]], ""type"": ""MultiPoint""}";48.832777621760634;2.4142998431578455
TOILETTES;;PARC MONTSOURIS;75014;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""coordinates"": [[2.336591562073572, 48.82227702153402]], ""type"": ""MultiPoint""}";48.82227702153402;2.336591562073572
TOILETTES;;SQUARE DE LA RUE DE CHATILLON;75014;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-lionel-assouad-2735;"{""coordinates"": [[2.3225435064747053, 48.82795466191802]], ""type"": ""MultiPoint""}";48.82795466191802;2.3225435064747053
TOILETTES;;JARDIN DE L'HOPITAL SAINTE-PERINE;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-sainte-perine-1806;"{""coordinates"": [[2.2685112822119473, 48.84381761186973]], ""type"": ""MultiPoint""}";48.84381761186973;2.2685112822119473
TOILETTES;;JARDIN DE REUILLY - PAUL PERNIN;75012;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-de-reuilly-paul-pernin-2573;"{""coordinates"": [[2.388283520014716, 48.84285654035908]], ""type"": ""MultiPoint""}";48.84285654035908;2.388283520014716
TOILETTES;;PARC DE PASSY;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-de-passy-2625;"{""coordinates"": [[2.2829801193776933, 48.855364641497715]], ""type"": ""MultiPoint""}";48.855364641497715;2.2829801193776933
SANISETTE;;147  RUE VERCINGETORIX;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3114191795653407, 48.83257405441342]], ""type"": ""MultiPoint""}";48.83257405441342;2.3114191795653407
SANISETTE;;6  BOULEVARD DU MONTPARNASSE;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.316945653588217, 48.84652137265822]], ""type"": ""MultiPoint""}";48.84652137265822;2.316945653588217
SANISETTE;;170  AVENUE DE VERSAILLES;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2630781408913503, 48.83985538119862]], ""type"": ""MultiPoint""}";48.83985538119862;2.2630781408913503
SANISETTE;;face au 2 AVENUE DE WAGRAM;75017;24 h / 24;Oui;;;"{""coordinates"": [[2.2956974316517034, 48.87494771234444]], ""type"": ""MultiPoint""}";48.87494771234444;2.2956974316517034
SANISETTE;;96  BOULEVARD BARBES;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.3497411441355123, 48.891436390444895]], ""type"": ""MultiPoint""}";48.891436390444895;2.3497411441355123
SANISETTE;;opposé au 94 RUE JEAN HENRI FABRE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.335537439363258, 48.90106116731216]], ""type"": ""MultiPoint""}";48.90106116731216;2.335537439363258
SANISETTE;;2  AVENUE DE LA PORTE DE SAINT OUEN;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.329375817479605, 48.89789971505309]], ""type"": ""MultiPoint""}";48.89789971505309;2.329375817479605
